work_id,organism,cd_score,title,year
W2102953824,arabidopsis,1.0,Benzothiadiazole induces disease resistance in <i>Arabidopsis</i> by activation of the systemic acquired resistance signal transduction pathway,1996
W583784549,arabidopsis,1.0,Arabidopsis : a laboratory manual,2002
W1978661900,arabidopsis,1.0,Assignment of 30 Microsatellite Loci to the Linkage Map of Arabidopsis,1994
W4240574505,arabidopsis,1.0,Characterization of an Arabidopsis Mutant That Is Nonresponsive to Inducers of Systemic Acquired Resistance,1994
W2035874951,arabidopsis,1.0,Early embryogenesis in <i>Arabidopsis thaliana</i>. II. The developing embryo,1991
W4251284792,arabidopsis,1.0,Arabidopsis Flavonoid Mutants Are Hypersensitive to UV-B Irradiation,1993
W4242861156,arabidopsis,1.0,Salicylic Acid Induction-Deficient Mutants of Arabidopsis Express PR-2 and PR-5 and Accumulate High Levels of Camalexin after Pathogen Inoculation,1999
W2079421360,arabidopsis,1.0,Mutant of <i>Arabidopsis</i> Deficient in Xylem Loading of Phosphate,1991
W2130808155,arabidopsis,1.0,Correlation between the induction of a gene for Δ<sup>1</sup>‐pyrroline‐5‐carboxylate synthetase and the accumulation of proline in <i>Arabidopsis thaliana</i> under osmotic stress,1995
W2119405709,arabidopsis,1.0,Transformation of <i>Arabidopsis thaliana</i> with the <i>codA</i> gene for choline oxidase; accumulation of glycinebetaine and enhanced tolerance to salt and cold stress,1997
W1963701865,arabidopsis,1.0,Recombinant inbred lines for mapping RFLP and phenotypic markers in <i>Arabidopsis thaliana</i>,1993
W2978703830,arabidopsis,1.0,Phytochrome-mediated inhibition of shade avoidance involves degradation of growth-promoting bHLH transcription factors,2007
W1981663912,arabidopsis,1.0,The <i>SHOOT MERISTEMLESS</i> gene is required for maintenance of undifferentiated cells in <i>Arabidopsis</i> shoot and floral meristems and acts at a different regulatory level than the meristem genes <i>WUSCHEL</i> and <i>ZWILLE</i>,1996
W2015851559,arabidopsis,1.0,Morphogenesis in <i>pinoid</i> mutants of <i>Arabidopsis thaliana</i>,1995
W2134588184,arabidopsis,1.0,Isolation and characterization of abscisic acid‐deficient <i>Arabidopsis</i> mutants at two new loci,1996
W4229757499,arabidopsis,1.0,"A Novel cis-Acting Element in an Arabidopsis Gene Is Involved in Responsiveness to Drought, Low-Temperature, or High-Salt Stress",1994
W1998377076,arabidopsis,1.0,Systemic Acquired Resistance in<i>Arabidopsis</i>Requires Salicylic Acid but Not Ethylene,1995
W2015946583,arabidopsis,1.0,Autophagy in Development and Stress Responses of Plants,2006
W4243001760,arabidopsis,1.0,Growth Stage-Based Phenotypic Analysis of Arabidopsis: A Model for High Throughput Functional Genomics in Plants,2001
W2169922635,arabidopsis,1.0,Movement and subcellular localization of a tobamovirus in<i> Arabidopsis</i>,1997
W1975195438,arabidopsis,1.0,Transient transformation of <i>Arabidopsis</i> leaf protoplasts: a versatile experimental system to study gene expression,1994
W2037414264,arabidopsis,1.0,The <i>Arabidopsis</i> Athb‐10 (GLABRA2) is an HD‐Zip protein required for regulation of root hair development,1996
W2030611224,arabidopsis,1.0,Genetic evidence for an essential role of brassinosteroids in plant development,1996
W2141265355,arabidopsis,1.0,Genetic evidence that induction of root Fe(III) chelate reductase activity is necessary for iron uptake under iron deficiency<sup>†</sup>,1996
W3012723500,arabidopsis,1.0,Correction: Corrigendum: Salicylic acid biosynthesis is enhanced and contributes to increased biotrophic pathogen resistance in Arabidopsis hybrids,2015
W2034234820,arabidopsis,1.0,Mutations in the <i>AXR3</i> gene of <i>Arabidopsis</i> result in altered auxin response including ectopic expression from the <i>SAUR‐AC1</i> promoter,1996
W1848060965,arabidopsis,1.0,Molecular Cloning and Characterization of 9 cDNAs for Genes That Are Responsive to Desiccation in Arabidopsis thaliana: SequenceAnalysis of One cDNA Clone That Encodes a Putative Transmembrane Channel Protein,1992
W1975878968,arabidopsis,1.0,Tissue‐specific expression of <i>Arabidopsis AKT1</i> gene is consistent with a role in K<sup>+</sup> nutrition,1996
W2006983022,arabidopsis,1.0,Functional analysis of the <i>Arabidopsis thaliana</i> SBP‐box gene <i>SPL3</i>: a novel gene involved in the floral transition,1997
W2000345299,arabidopsis,1.0,"<i>amp1</i> ‐ a mutant with high cytokinin levels and altered embryonic pattern, faster vegetative growth, constitutive photomorphogenesis and precocious flowering",1993
W1966377424,arabidopsis,1.0,"Differential expression of two <i>P5CS</i> genes controlling proline accumulation during salt‐stress requires ABA and is regulated by <i>ABA1, ABI1</i> and <i>AXR2</i> in <i>Arabidopsis</i>",1997
W4244174210,arabidopsis,1.0,Relationship between Endopolyploidy and Cell Size in Epidermal Tissue of Arabidopsis,1993
W1578354962,arabidopsis,1.0,Plant roots : the hidden half,1991
W1607705891,arabidopsis,1.0,Ethylene is a positive regulator of root hair development in <i>Arabidopsis thaliana</i>,1995
W2004806734,arabidopsis,1.0,The <i>Arabidopsis</i> ribonuclease gene <i>RNS1</i> is tightly controlled in response to phosphate limitation,1994
W2069579071,arabidopsis,1.0,Seed and Molecular Resources for Arabidopsis,2000
W1942286409,arabidopsis,1.0,The New <i>RGA</i> Locus Encodes a Negative Regulator of Gibberellin Response in <i>Arabidopsis thaliana</i>,1997
W4241689729,arabidopsis,1.0,Production of Salicylic Acid Precursors Is a Major Function of Phenylalanine Ammonia-Lyase in the Resistance of Arabidopsis to Peronospora parasitica,1996
W2116697546,arabidopsis,1.0,A role for arabinogalactan‐proteins in plant cell expansion: evidence from studies on the interaction of β‐glucosyl Yariv reagent with seedlings of <i>Arabidopsis thaliana</i>,1996
W4231058641,arabidopsis,1.0,Molecular Characterization of Functional Domains in the Protein Kinase SOS2 That Is Required for Plant Salt Tolerance,2001
W2044514710,arabidopsis,1.0,The <i>Arabidopsis</i> homeobox gene <i>ATHB‐7</i> is induced by water deficit and by abscisic acid,1996
W2115803636,arabidopsis,1.0,Mutants of <i>Arabidopsis thaliana</i> with altered cell wall polysaccharide composition,1997
W2041433712,arabidopsis,1.0,Coordinate transcriptional induction of <i>myo</i>‐inositol metabolism during environmental stress,1996
W4255852062,arabidopsis,1.0,"Phenotypic and Genetic Analysis of det2, a New Mutant That Affects Light-Regulated Seedling Development in Arabidopsis",1991
W2054246604,arabidopsis,1.0,The <i>Arabidopsis ELF</i>3 gene regulates vegetative photomorphogenesis and the photoperiodic induction of flowering,1996
W1964558478,arabidopsis,1.0,Real‐time imaging of phloem unloading in the root tip of <i>Arabidopsis</i>,1994
W1978805236,arabidopsis,1.0,An inventory of 1152 expressed sequence tags obtained by partial sequencing of cDNAs from <i>Arabidopsis thaliana</i><sup>†</sup>,1993
W2125921110,arabidopsis,1.0,"HAT3.1, a novel <i>Arabidopsis</i> homeodomain protein containing a conserved cysteine‐rich region",1993
W4248333908,arabidopsis,1.0,Role of Arabidopsis MYC and MYB Homologs in Drought- and Abscisic Acid-Regulated Gene Expression,1997
W2072244066,arabidopsis,1.0,Developmental regulation of the gibberellin biosynthetic gene <i>GA1</i> in <i>Arabidopsis thaliana</i>,1997
W1986037157,barley,1.0,The analysis of adaptation in a plant-breeding programme,1963
W2132252339,barley,1.0,Analysis of the sugar specificity and molecular location of the β-glucan-binding lectin site of complement receptor type 3 (CD11b/CD18),1996
W2027939343,barley,1.0,"Response of antioxidant enzymes to transfer from elevated carbon dioxide to air and ozone fumigation, in the leaves and roots of wild‐type and a catalase‐deficient mutant of barley",1998
W2055672528,barley,1.0,Nutrient Supply and the Growth of the Seminal Root System in Barley,1975
W2146601875,barley,1.0,Nutrient Supply and the Growth of the Seminal Root System in Barley,1973
W2054639265,barley,1.0,Barley Mutants Lacking Chloroplast Glutamine Synthetase—Biochemical and Genetic Analysis,1987
W2931294,barley,1.0,Effects of the inclusion of yeast culture (Saccharomyces cerevisiae plus growth medium) in the diet of dairy cows on milk yield and forage degradation and fermentation patterns in the rumen of steers,1991
W2035049609,barley,1.0,Near‐Isogenic Barley Lines with Genes for Resistance to Powdery Mildew<sup>1</sup>,1986
W6049808,barley,1.0,Effect of Yucca schidigera on ruminal fermentation and nutrient digestion in heifers.,1999
W2018020060,barley,1.0,Osmotic Adjustment and Growth of Barley Genotypes under Drought Stress,1989
W2038869176,barley,1.0,Plant Breeding Progress and Genetic Diversity from De Novo Variation and Elevated Epistasis,1997
W2054381733,barley,1.0,Evidence for Noncirculative Transmission of Pierce's Disease Bacterium by Sharpshooter Leafhoppers,1979
W2162826705,barley,1.0,"Germin‐like oxalate oxidase, a H<sub>2</sub>O<sub>2</sub>‐producing enzyme, accumulates in barley attacked by the powdery mildew fungus",1995
W2067735945,barley,1.0,"Aphid Transmission and Systemic Plant Infection Determinants of Barley Yellow Dwarf Luteovirus-PAV are Contained in the Coat Protein Readthrough Domain and 17-kDa Protein, Respectively",1996
W1988858514,barley,1.0,Effect of calcium on root development and root ion fluxes in salinised barley seedlings,2003
W1969701569,barley,1.0,Relative Toxicities of Inorganic Aluminum Complexes to Barley,1986
W2044745008,barley,1.0,Viability and Leaching of Sugars from Germinating Barley<sup>1</sup>,1970
W2402364037,barley,1.0,Physiological and Ecological Studies in the Analysis of Plant Environment,1951
W2143798842,barley,1.0,Salt tolerance of <i>Hordeum</i> and <i>Brassica</i> species during germination and early seedling growth,1995
W1998740202,barley,1.0,Evidence for Receptor-Mediated Endocytosis Regulating Luteovirus Acquisition by Aphids,1993
W2045891963,barley,1.0,Sodium Absorption by Barley Roots: Role of the Dual Mechanisms of Alkali Cation Transport,1967
W1985173529,barley,0.8173913043478261,Gene for Improved Nutritional Value in Barley Seed Protein,1970
W1960498850,barley,0.7027027027027027,Improved Equations for the Prediction of Seed Longevity,1980
W2132466944,barley,0.6915422885572139,MULTILOCUS STRUCTURE OF NATURAL POPULATIONS OF <i>HORDEUM SPONTANEUM</i>,1980
W2089051496,barley,0.4349206349206349,Induced root-secreted phenolic compounds as a belowground plant defense,2010
W1983741842,barley,0.3931847968545216,"PLASTID STRUCTURE, CHLOROPHYLL CONCENTRATION, AND FREE AMINO ACID COMPOSITION OF A CHLOROPHYLL MUTANT OF BARLEY",1963
W2319913518,barley,0.3438320209973753,Occupation of Biological Space During Seedling Establishment,1972
W2136619438,barley,0.2905464006938421,The use of dosed and herbage n-alkanes as markers for the determination of herbage intake,1986
W2041261103,barley,0.2077464788732394,Relationships between lipophilicity and root uptake and translocation of non‐ionised chemicals by barley,1982
W2038775459,barley,0.1434689507494646,A Numerical Scale to Classify Reactions of Barley to<i>Pyrenophora Teres</i>,1985
W1990141454,barley,0.1334768568353067,Potassium homeostasis in vacuolate plant cells.,1996
W2128430880,barley,0.1022146507666098,Studies of the Uptake of Nitrate in Barley,1990
W2147470376,barley,0.0965250965250965,Effects of silicon on salinity tolerance of two barley cultivars,1996
W2005898250,barley,0.0949432404540763,Root Respiration Associated with Ammonium and Nitrate Absorption and Assimilation by Barley,1992
W1966439290,barley,0.0886454183266932,Simultaneous Determination of Multiple Phytohormones in Plant Extracts by Liquid Chromatography−Electrospray Tandem Mass Spectrometry,2005
W1988720073,barley,0.0597938144329896,Interactions between <i>Treponema bryantii</i> and cellulolytic bacteria in the <i>in vitro</i> degradation of straw cellulose,1987
W2046936544,barley,0.0485744456177402,Regulation of Potassium Absorption in Barley Roots,1976
W1971295008,barley,0.0361663652802893,Weed suppression ability of spring barley varieties,1995
W2117491464,barley,0.0324189526184538,Mechanisms of Weed Suppression in Cover Crop-based Production Systems,1996
W1898213540,barley,0.0321027287319422,Structural and functional relationships of enzyme activities induced by nitrate in barley,1970
W1972789341,barley,0.0304174533249423,"Haplotyping, linkage mapping and expression analysis of barley genes regulated by terminal drought stress influencing seed quality",2011
W1580257366,barley,0.0274469186949766,Chlorophyll Fluorescence as a Possible Tool for Salinity Tolerance Screening in Barley (Hordeum vulgare L.),1994
W2161479301,barley,0.0239320638188368,Genome Expansion and Gene Loss in Powdery Mildew Fungi Reveal Tradeoffs in Extreme Parasitism,2010
W2076895022,barley,0.018331226295828,Seed priming enhances germination and seedling growth of barley under conditions of P and Zn deficiency,2004
W2119896452,barley,0.0178957112002468,Efficient and Accurate Construction of Genetic Linkage Maps from the Minimum Spanning Tree of a Graph,2008
W2165227099,barley,0.0170547720564119,Rapid and tissue-specific changes in ABA and in growth rate in response to salinity in barley leaves,2004
W2138892620,barley,0.0162348877374784,The phylogeny of RNA-dependent RNA polymerases of positive-strand RNA viruses,1991
W2085578548,barley,0.0131147540983606,Gibberellic acid and abscisic acid coordinately regulate cytoplasmic calcium and secretory activity in barley aleurone protoplasts.,1992
W2765361152,barley,0.0070124371526858,Influence of PEG induced drought stress on molecular and biochemical constituents and seedling growth of Egyptian barley cultivars,2017
W2144006329,barley,0.0067824199674443,Identification of a methyl jasmonate‐responsive region in the promoter of a lipoxygenase 1 gene expressed in barley grain,1997
W1994781360,cotton,1.0,Effect of Organic Acids on Aluminum Toxicity in Subsoils,1986
W2013752239,cotton,1.0,Antioxidant Response to NaCl Stress in Salt‐Tolerant and Salt‐Sensitive Cultivars of Cotton,1994
W2093747141,cotton,1.0,An introduction to tropical rain forests,1998
W2030106093,cotton,1.0,Rapid Extraction and Analysis of Nonstructural Carbohydrates in Plant Tissues,1993
W2067592899,cotton,1.0,Genotypic and Environmental Variances and Covariances in an Upland Cotton Cross of Interspecific Origin<sup>1</sup>,1958
W2074868294,cotton,1.0,Estimates of Genotypic and Environmental Variances and Covariances in Upland Cotton and Their Implications in Selection<sup>1</sup>,1958
W2317646682,cotton,1.0,Congruence and Consensus in the Cotton Tribe (Malvaceae),1997
W30984071,cotton,1.0,"Alternaria: biology, plant diseases and metabolites.",1992
W2291694901,cotton,1.0,Biodegradation of malachite green by Kocuria rosea MTCC 1532,2006
W2018450039,cotton,1.0,Influence of Field Application of an Atoxigenic Strain of<i>Aspergillus flavus</i>on the Populations of<i>A. flavus</i>Infecting Cotton Bolls and on the Aflatoxin Content of Cottonseed,1994
W2153332928,cotton,1.0,Salt Tolerance of Cotton: Some New Advances,2002
W2312382243,cotton,1.0,"An<i>Xanthomonas citri</i>Pathogenicity Gene,<i>pthA,</i>Pleiotropically Encodes Gratuitous Avirulence on Nonhosts",1992
W62038207,cotton,1.0,Effects of gossypol and cottonseed products on reproduction of mammals,1992
W2015420277,cotton,1.0,"A Conformation-dependent Cotton Effect in α-Helical Polypeptides and Proteins<sup>1,2</sup>",1961
W2062777462,cotton,1.0,Temperature Effects on Cotton Fruit Retention,1992
W2006744382,cotton,1.0,Genetic Diversity in Elite Cotton Germplasm Determined by Morphological Characteristics and RAPDs,1996
W2009589398,cotton,1.0,Temperature Effects on Early Season Cotton Growth and Development,1992
W2076975981,cotton,1.0,Competitive Exclusion of a Toxigenic Strain of<i>Aspergillus flavus</i>by an Atoxigenic Strain,1993
W4210349322,cotton,1.0,Salt Tolerance of Cotton: Some New Advances,2002
W2117129344,cotton,0.9148936170212766,Structures of Bamboo Fiber for Textiles,2009
W1989457482,cotton,0.8387470997679815,Germination of Witchweed ( <i>Striga lutea</i> Lour.): Isolation and Properties of a Potent Stimulant,1966
W2142587441,cotton,0.4072398190045249,Biotechnology as an alternative to chemical pesticides: a case study of Bt cotton in China,2003
W2117532617,cotton,0.2608695652173913,Identification of Plant Hormones from Cotton Ovules,1975
W2499222419,cotton,0.2307692307692307,Taxonomy and Germplasm Resources,1984
W2014134050,cotton,0.1642651296829971,Determination of the Pore Size of Cell Walls of Living Plant Cells,1979
W2525045760,cotton,0.1420454545454545,Measurements of Proline and Malondialdehyde Content and Antioxidant Enzyme Activities in Leaves of Drought Stressed Cotton,2016
W2320782927,cotton,0.1333333333333333,Concept for Monitoring the Growth and Development of Cotton Plants Using Main‐Stem Node Counts,1992
W2013708014,cotton,0.10912343470483,Effects of Ethylene on Auxin Transport,1966
W2041200266,cotton,0.106679960119641,A Potent Inhibitor of Ethylene Action in Plants,1976
W2073512111,cotton,0.0966202783300198,New World tetraploid cottons contain Old World cytoplasm,1989
W2773601183,cotton,0.0929292929292929,Machine learning regression technique for cotton leaf disease detection and controlling using IoT,2017
W1844846354,cotton,0.0908018867924528,Analysis of conditional genetic effects and variance components in developmental genetics.,1995
W2148584947,cotton,0.0778443113772455,Virulence and Cultural Characteristics of Two<i>Aspergillus flavus</i>Strains Pathogenic on Cotton,1989
W2012106612,cotton,0.0697928026172301,"Colour in textile effluents - sources, measurement, discharge consents and simulation: a review",1999
W2167917677,cotton,0.0677351073480495,Displacement of Ca<sup>2+</sup> by Na<sup>+</sup> from the Plasmalemma of Root Cells,1985
W2536452926,cotton,0.0564738292011019,Classification of cotton leaf spot diseases using image processing edge detection techniques,2012
W2087369364,cotton,0.0333333333333333,"Discovery, Characterization, and Structure−Activity Relationships Studies of Proapoptotic Polyphenols Targeting B-Cell Lymphocyte/Leukemia-2 Proteins",2003
W2064389911,cotton,0.0236656596173212,Stem Diameter in Relation to Plant Water Status,1971
W101918165,cotton,0.0195945945945945,Economical and rapid method for extracting cotton genomic DNA.,2000
W2028922415,cotton,0.0133700353912701,Engineering cottonseed for use in human nutrition by tissue-specific reduction of toxic gossypol,2006
W2079456374,cotton,0.0127569099929128,"Influx of Na<sup>+</sup>, K<sup>+</sup>, and Ca<sup>2+</sup> into Roots of Salt-Stressed Cotton Seedlings",1987
W2058355586,cotton,0.0077830780818478,GENETIC DIVERSITY IN GOSSYPIUM HIRSUTUM AND THE ORIGIN OF UPLAND COTTON,1992
W1511759670,cotton,0.0055292259083728,"Influence of Potassium Deficiency on Photosynthesis, Chlorophyll Content, and Chloroplast Ultrastructure of Cotton Plants",2001
W1608181111,cotton,0.0053530461381595,Chitinolytic Enterobacter agglomerans Antagonistic to Fungal Plant Pathogens,1995
W2156854131,cotton,0.0040633888663145,Drought-induced Changes in Shoot and Root Growth of Young Cotton Plants,1999
W2164594641,cotton,0.0037037037037037,Evaluating cell wall structure and composition of developing cotton fibers using Fourier transform infrared spectroscopy and thermogravimetric analysis,2007
W2016671489,cotton,0.0033444816053511,Interaction of Light with a Plant Canopy*,1968
W2524983888,cotton,0.0024630541871921,Cotton plants export microRNAs to inhibit virulence gene expression in a fungal pathogen,2016
W2000293741,cotton,0.0016781652060413,Changes in Biochemical Composition of the Cell Wall of the Cotton Fiber During Development,1977
W2063715895,cotton,0.001669825796552,Gene Expression Profile Changes in Cotton Root and Hypocotyl Tissues in Response to Infection with <i>Fusarium oxysporum</i> f. sp. <i>vasinfectum</i>,2004
W1875412457,maize,1.0,CERES-Maize: a simulation model of maize growth and development,1986
W2058372130,maize,1.0,"Xylan and xylan derivatives - biopolymers with valuable properties, 1. Naturally occurring xylans structures, isolation procedures and properties",2000
W2025560344,maize,1.0,Identifying Mega‐Environments and Targeting Genotypes,1997
W1598449041,maize,1.0,Crop micrometeorology : a simulation study,1977
W2040866820,maize,1.0,Comparison of Models for Describing; Corn Yield Response to Nitrogen Fertilizer,1990
W2026125218,maize,1.0,Analysis and Interpretation of Factors Which Contribute to Efficiency of Nitrogen Utilization<sup>1</sup>,1982
W652020414,maize,1.0,Seed Development and Germination,2017
W1974759912,maize,1.0,The Composition of a Field of Maize,1908
W2342825194,maize,1.0,Light Distribution and Photosynthesis in Field Crops,1965
W1503201926,maize,1.0,The structure and reproduction of corn,1980
W2033210774,maize,1.0,Kernel Number Determination in Maize,1999
W54045799,maize,1.0,Breeding Vegetable Crops,1985
W2101631181,maize,1.0,Breeding for drought and nitrogen stress tolerance in maize: From theory to practice,2000
W639688165,maize,1.0,Mycotoxins and Animal Foods,1991
W151937095,maize,1.0,Starch Digestion and Utilization in Ruminants,1986
W2221571340,maize,1.0,Mutable Loci in Maize,1948
W2145504406,maize,1.0,Insect Pests of Cowpeas,1986
W1988499173,maize,1.0,Heat Units as a Method of Measuring Maturity in Corn<sup>1</sup>,1958
W2077748368,maize,1.0,A new model system for tomato genetics,1997
W4237253531,maize,1.0,Evidence for Chilling-Induced Oxidative Stress in Maize Seedlings and a Regulatory Role for Hydrogen Peroxide,1994
W2036743032,maize,1.0,Characterization of phosphatase of intact maize roots,1975
W2077971449,maize,1.0,The Effects of Soil Moisture Stress at Different Stages of Growth on the Development and Yield of Corn<sup>1</sup>,1960
W1976938214,maize,1.0,The effect of salt stress on lipid peroxidation and antioxidants in the leaf of the cultivated tomato and its wild salt‐tolerant relative <i>Lycopersicon pennellii</i>,1998
W2313456038,maize,1.0,"Insecticidal Properties of Several Monoterpenoids to the House Fly (Diptera: Muscidae), Red Flour Beetle (Coleoptera: Tenebrionidae), and Southern Corn Rootworm (Coleoptera: Chrysomelidae)",1994
W2087339712,maize,1.0,Simultaneous Selection for Yield and Stability in Crop Performance Trials: Consequences for Growers,1993
W1991281905,maize,1.0,Temperature and Solar Radiation Effects on Potential Maize Yield across Locations,1990
W1976575447,maize,1.0,Prediction of Maize Single‐Cross Performance Using RFLPs and Information from Related Hybrids,1994
W2074444386,maize,1.0,"Nitrogen Defeciency in Maize: I. Effects on Crop Growth, Development, Dry Matter Partitioning, and Kernel Set",1995
W1966350617,maize,1.0,"Mechanisms of chilling‐induced oxidative stress injury and tolerance in developing maize seedlings: changes in antioxidant system, oxidation of proteins and lipids, and protease activities",1996
W2054585477,maize,1.0,Leaf Reflectance vs. Leaf Chlorophyll and Carotenoid Concentrations for Eight Crops<sup>1</sup>,1977
W71320721,maize,1.0,"Roots, plant production and nutrient use efficiency",1987
W2119284171,maize,1.0,Growth of the Maize Primary Root at Low Water Potentials,1990
W2080108537,maize,1.0,Water Deficit Timing Effects on Yield Components in Maize,1989
W1976713456,maize,1.0,"Leaf Angles, Leaf Area, and Canopy Photosynthesis<sup>1</sup>",1971
W2139757216,maize,1.0,Plant Growth Substances,1979
W1987297838,maize,1.0,Nitrogen Response of Leaf Photosynthesis and Canopy Radiation Use Efficiency in Field‐Grown Maize and Sorghum,1994
W2100520855,maize,1.0,A Potential Phosphate Crisis,1999
W2068964335,maize,1.0,"Row Spacing Effects on Light Extinction Coefficients of Corn, Sorghum, Soybean, and Sunflower",1996
W2012981798,maize,1.0,Mycorrhizae: Possible Explanation for Yield Decline with Continuous Corn and Soybean,1992
W2029062246,maize,1.0,Selection for Drought Tolerance Increases Maize Yields across a Range of Nitrogen Levels,1999
W2010130291,maize,1.0,Genetic Improvement in Grain Yield of Commercial Maize Hybrids Grown in Ontario from 1959 to 1988,1989
W2032409127,maize,1.0,High Temperature Stress and Pollen Viability of Maize<sup>1</sup>,1980
W2038142828,maize,1.0,Ear and Kernel Formation in Maize Hybrids Representing Three Decades of Grain Yield Improvement in Ontario,1992
W2058685043,maize,1.0,Influence of Tillage Systems on Weed Population Dynamics and Management in Corn and Soybean in the Central USA,1995
W4237159149,maize,1.0,French Beans and Food Scares,2004
W2047858817,maize,1.0,Causes for Silk Delay in a Lowland Tropical Maize Population,1993
W560997783,maize,1.0,Mutants of Maize,1997
W2014720907,maize,1.0,Efficiency of Secondary Traits for Improving Maize for Low‐Nitrogen Target Environments,1997
W2020468957,maize,1.0,Efficiency of High‐Nitrogen Selection Environments for Improving Maize for Low‐Nitrogen Target Environments,1997
W2058433536,maize,1.0,"Growth Stages of Corn (Zea mays, L.)<sup>1</sup>",1963
W1514490835,non_specific,1.0,"Seeds: ecology, biogeography, and evolution of dormancy and germination",2015
W2181908191,non_specific,1.0,Virus taxonomy: classification and nomenclature of viruses. Seventh report of the International Committee on Taxonomy of Viruses.,2000
W3001748765,non_specific,1.0,Nutrient Requirements of Sheep,1975
W2051228629,non_specific,1.0,Plant Growth-Promoting Effects of Diazotrophs in the Rhizosphere,2003
W2018308587,non_specific,1.0,Progress in Nucleic Acid Research and Molecular Biology,2001
W4251060592,non_specific,1.0,Introduction of a Chimeric Chalcone Synthase Gene into Petunia Results in Reversible Co-Suppression of Homologous Genes in trans,1990
W1819373124,non_specific,1.0,Working with Mycorrhizas in Forestry and Agriculture,1996
